barcode,predict,actual
0,异常,异常
1,异常,异常
2,异常,异常
3,异常,异常
4,异常,异常
5,异常,异常
6,异常,异常
7,异常,异常
8,异常,异常
9,异常,异常
10,异常,异常
11,异常,异常
12,异常,异常
13,异常,异常
14,异常,异常
15,异常,异常
16,异常,异常
17,异常,异常
18,异常,异常
19,异常,异常
20,异常,异常
21,异常,异常
22,异常,异常
23,异常,异常
24,异常,异常
25,异常,异常
26,异常,异常
27,异常,异常
28,异常,异常
29,异常,异常
30,异常,异常
31,异常,异常
32,异常,异常
33,异常,异常
34,异常,异常
35,异常,异常
36,异常,异常
37,异常,异常
38,正常,正常
39,正常,正常
40,正常,正常
41,正常,正常
42,正常,正常
43,正常,正常
44,正常,正常
45,正常,正常
46,正常,正常
47,正常,正常
48,正常,正常
49,正常,正常
50,正常,正常
51,正常,正常
52,正常,正常
53,正常,正常
54,正常,正常
55,正常,正常
56,正常,正常
57,正常,正常
58,正常,正常
59,正常,正常
60,正常,正常
61,正常,正常
62,正常,正常
63,正常,正常
64,正常,正常
65,正常,正常
66,正常,正常
67,正常,正常
68,正常,正常
69,正常,正常
70,正常,正常
71,正常,正常
72,正常,正常
73,正常,正常
74,正常,正常
75,正常,正常
76,正常,正常
77,正常,正常
78,正常,正常
79,正常,正常
80,正常,正常
81,正常,正常
82,正常,正常
83,正常,正常
84,正常,正常
85,正常,正常
86,正常,正常
87,正常,正常
88,正常,正常
89,正常,正常
90,正常,正常
91,正常,正常
92,正常,正常
93,正常,正常
94,正常,正常
95,正常,正常
96,正常,正常
97,正常,正常
98,正常,正常
99,正常,正常
100,正常,正常
101,正常,正常
102,正常,正常
103,正常,正常
104,正常,正常
105,正常,正常
106,正常,正常
107,正常,正常
108,正常,正常
109,正常,正常
110,正常,正常
111,正常,正常
112,正常,正常
113,正常,正常
114,正常,正常
115,正常,正常
116,正常,正常
117,正常,正常
118,正常,正常
119,正常,正常
120,正常,正常
121,正常,正常
122,正常,正常
123,正常,正常
124,正常,正常
125,正常,正常
126,正常,正常
127,正常,正常
128,正常,正常
129,正常,正常
130,正常,正常
131,正常,正常
132,正常,正常
133,正常,正常
134,正常,正常
135,正常,正常
136,正常,正常
137,正常,正常
138,正常,正常
139,正常,正常
140,正常,正常
141,正常,正常
142,正常,正常
143,正常,正常
144,正常,正常
145,正常,正常
146,正常,正常
147,正常,正常
148,正常,正常
149,正常,正常
150,正常,正常
151,正常,正常
152,正常,正常
153,正常,正常
154,正常,正常
155,正常,正常
156,正常,正常
157,正常,正常
158,正常,正常
159,正常,正常
160,正常,正常
161,正常,正常
162,正常,正常
163,正常,正常
164,正常,正常
165,正常,正常
166,正常,正常
167,正常,正常
168,正常,正常
169,正常,正常
170,正常,正常
171,正常,正常
172,正常,正常
173,正常,正常
174,正常,正常
175,正常,正常
176,正常,正常
177,正常,正常
178,正常,正常
179,正常,正常
180,正常,正常
181,正常,正常
182,正常,正常
183,正常,正常
184,正常,正常
185,正常,正常
186,正常,正常
187,正常,正常
188,正常,正常
189,正常,正常
190,正常,正常
191,正常,正常
192,正常,正常
193,正常,正常
194,正常,正常
195,正常,正常
196,正常,正常
197,正常,正常
198,正常,正常
199,正常,正常
200,正常,正常
201,正常,正常
202,正常,正常
203,正常,正常
204,正常,正常
205,正常,正常
206,正常,正常
207,正常,正常
208,正常,正常
209,正常,正常
210,正常,正常
211,正常,正常
212,正常,正常
213,正常,正常
214,正常,正常
215,正常,正常
216,正常,正常
217,正常,正常
218,正常,正常
219,正常,正常
220,正常,正常
221,正常,正常
222,正常,正常
223,正常,正常
224,正常,正常
225,正常,正常
226,正常,正常
227,正常,正常
228,正常,正常
229,正常,正常
230,正常,正常
231,正常,正常
232,正常,正常
233,正常,正常
234,正常,正常
235,正常,正常
236,正常,正常
237,正常,正常
238,正常,正常
239,正常,正常
240,正常,正常
241,正常,正常
242,正常,正常
243,正常,正常
244,正常,正常
245,正常,正常
246,正常,正常
247,正常,正常
248,正常,正常
249,正常,正常
250,正常,正常
251,正常,正常
252,正常,正常
253,正常,正常
254,正常,正常
255,正常,正常
256,正常,正常
257,正常,正常
