,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
0,14,0,left,0,0.909,0,"[362, 911]",388.852,39.396,0,"[391, 704]",388.165,29.815
1,14,1,left,1,1.141,1,"[405, 911]",388.852,39.396,1,"[421, 649]",388.165,29.815
2,14,2,left,2,1.1,2,"[449, 910]",388.852,39.396,2,"[454, 657]",388.165,29.815
3,14,3,left,3,1.157,3,"[491, 932]",388.852,39.396,3,"[490, 666]",388.165,29.815
4,14,4,left,4,1.292,4,"[533, 956]",388.852,39.396,4,"[537, 659]",388.165,29.815
5,14,5,left,5,1.34,5,"[575, 981]",388.852,39.396,5,"[566, 673]",388.165,29.815
6,14,6,left,6,1.371,6,"[617, 1000]",388.852,39.396,6,"[604, 685]",388.165,29.815
7,14,7,left,7,1.277,7,"[659, 981]",388.852,39.396,7,"[638, 688]",388.165,29.815
8,14,8,left,8,1.419,8,"[700, 1021]",388.852,39.396,8,"[688, 695]",388.165,29.815
9,14,9,left,9,1.472,9,"[743, 1033]",388.852,39.396,9,"[725, 695]",388.165,29.815
10,14,10,left,10,1.221,10,"[785, 986]",388.852,39.396,10,"[764, 706]",388.165,29.815
11,14,11,left,11,1.281,11,"[828, 991]",388.852,39.396,11,"[811, 697]",388.165,29.815
12,14,12,left,12,1.268,12,"[871, 974]",388.852,39.396,12,"[852, 683]",388.165,29.815
13,14,13,left,13,1.459,13,"[914, 1028]",388.852,39.396,13,"[896, 693]",388.165,29.815
14,14,14,left,14,1.217,14,"[955, 1003]",388.852,39.396,14,"[933, 724]",388.165,29.815
15,14,15,left,15,1.476,15,"[997, 1040]",388.852,39.396,15,"[982, 701]",388.165,29.815
16,14,16,left,16,1.278,16,"[1037, 1026]",388.852,39.396,16,"[1013, 733]",388.165,29.815
17,14,17,left,17,1.43,17,"[1080, 1036]",388.852,39.396,17,"[1056, 708]",388.165,29.815
18,14,18,left,18,1.286,18,"[1120, 1027]",388.852,39.396,18,"[1099, 732]",388.165,29.815
19,14,19,left,19,1.303,19,"[1163, 1026]",388.852,39.396,19,"[1132, 728]",388.165,29.815
20,14,20,left,20,1.318,20,"[1204, 1032]",388.852,39.396,20,"[1169, 731]",388.165,29.815
21,14,21,left,21,1.203,21,"[1245, 1015]",388.852,39.396,21,"[1215, 740]",388.165,29.815
22,14,22,left,22,1.105,22,"[1288, 983]",388.852,39.396,22,"[1264, 730]",388.165,29.815
23,14,23,left,23,1.222,23,"[1333, 995]",388.852,39.396,23,"[1299, 716]",388.165,29.815
24,14,24,left,24,1.416,24,"[1375, 1051]",388.852,39.396,24,"[1355, 726]",388.165,29.815
25,14,25,left,25,1.125,25,"[1416, 979]",388.852,39.396,25,"[1387, 722]",388.165,29.815
26,14,26,left,26,1.381,26,"[1461, 1033]",388.852,39.396,26,"[1440, 716]",388.165,29.815
27,14,27,left,27,1.203,27,"[1503, 1000]",388.852,39.396,27,"[1473, 725]",388.165,29.815
28,14,28,left,28,1.277,28,"[1547, 1026]",388.852,39.396,28,"[1527, 733]",388.165,29.815
29,14,29,left,29,1.099,29,"[1585, 965]",388.852,39.396,29,"[1565, 713]",388.165,29.815
