,voltage
0,3.422
1,3.422
2,3.422
3,3.422
4,3.422
5,3.422
6,3.422
7,3.422
8,3.422
9,3.422
10,3.422
11,3.422
12,3.422
13,3.422
14,3.422
15,3.422
16,3.422
17,3.422
18,3.422
19,3.422
20,3.422
21,3.422
22,3.422
23,3.422
24,3.422
25,3.422
26,3.422
27,3.422
28,3.422
29,3.422
30,3.422
31,3.422
32,3.422
33,3.422
34,3.422
35,3.422
36,3.422
37,3.422
38,3.422
39,3.422
40,3.422
41,3.422
42,3.422
43,3.422
44,3.422
45,3.422
46,3.4218
47,3.422
48,3.422
49,3.422
50,3.422
51,3.422
52,3.422
53,3.422
54,3.422
55,3.422
56,3.422
57,3.4218
58,3.422
59,3.422
60,3.422
61,3.537
62,3.637
63,3.6422
64,3.6443
65,3.6441
66,3.6435
67,3.6428
68,3.6422
69,3.6417
70,3.6412
71,3.6409
72,3.6406
73,3.6403
74,3.6401
75,3.64
76,3.6397
77,3.6397
78,3.6395
79,3.6393
80,3.6393
81,3.6392
82,3.6392
83,3.6392
84,3.6392
85,3.6392
86,3.6392
87,3.6392
88,3.6392
89,3.6393
90,3.6393
91,3.6393
92,3.6395
93,3.6395
94,3.6395
95,3.6397
96,3.6397
97,3.6398
98,3.64
99,3.64
100,3.6401
101,3.6403
102,3.6403
103,3.6405
104,3.6406
105,3.6408
106,3.6408
107,3.6409
108,3.6411
109,3.6412
110,3.6414
111,3.6414
112,3.6416
113,3.6417
114,3.6419
115,3.642
116,3.6422
117,3.6424
118,3.6425
119,3.6427
120,3.6428
121,3.643
122,3.6432
123,3.6433
124,3.6435
125,3.6436
126,3.6438
127,3.6439
128,3.6441
129,3.6443
130,3.6443
131,3.6446
132,3.6447
133,3.6449
134,3.6451
135,3.6452
136,3.6454
137,3.6455
138,3.6457
139,3.6459
140,3.646
141,3.6462
142,3.6463
143,3.6465
144,3.6466
145,3.6468
146,3.647
147,3.6471
148,3.6473
149,3.6474
150,3.6476
151,3.6478
152,3.6479
153,3.6481
154,3.6482
155,3.6484
156,3.6486
157,3.6487
158,3.6489
159,3.649
160,3.6492
161,3.6493
162,3.6495
163,3.6497
164,3.6498
165,3.6498
166,3.65
167,3.6501
168,3.6503
169,3.6505
170,3.6506
171,3.6508
172,3.6509
173,3.6511
174,3.6513
175,3.6513
176,3.6514
177,3.6516
178,3.6517
179,3.6519
180,3.6521
181,3.6522
182,3.6522
183,3.6524
184,3.6525
185,3.6527
186,3.6528
187,3.653
188,3.653
189,3.6532
190,3.6533
191,3.6535
192,3.6536
193,3.6536
