,voltage
0,3.4211
1,3.4211
2,3.4211
3,3.4211
4,3.4211
5,3.4211
6,3.4211
7,3.4211
8,3.4211
9,3.4211
10,3.4211
11,3.4211
12,3.4211
13,3.4211
14,3.4211
15,3.4211
16,3.4211
17,3.4211
18,3.4211
19,3.4211
20,3.4211
21,3.4211
22,3.4211
23,3.4211
24,3.4211
25,3.4211
26,3.4211
27,3.4211
28,3.4211
29,3.4211
30,3.4211
31,3.4211
32,3.4211
33,3.4211
34,3.4211
35,3.4211
36,3.4211
37,3.4211
38,3.4211
39,3.4211
40,3.4211
41,3.4211
42,3.4211
43,3.4211
44,3.4211
45,3.4211
46,3.4211
47,3.4211
48,3.4211
49,3.4211
50,3.4211
51,3.4211
52,3.4211
53,3.4211
54,3.4211
55,3.4211
56,3.4211
57,3.4211
58,3.4211
59,3.4211
60,3.4211
61,3.529
62,3.6291
63,3.6564
64,3.6517
65,3.6483
66,3.646
67,3.6442
68,3.6426
69,3.6415
70,3.6406
71,3.6396
72,3.639
73,3.6383
74,3.6378
75,3.6374
76,3.6369
77,3.6366
78,3.6363
79,3.6361
80,3.6359
81,3.6358
82,3.6356
83,3.6355
84,3.6353
85,3.6353
86,3.6353
87,3.6353
88,3.6353
89,3.6353
90,3.6353
91,3.6355
92,3.6355
93,3.6356
94,3.6356
95,3.6358
96,3.6359
97,3.6361
98,3.6363
99,3.6364
100,3.6364
101,3.6367
102,3.6367
103,3.6371
104,3.6372
105,3.6374
106,3.6375
107,3.6377
108,3.638
109,3.6382
110,3.6383
111,3.6385
112,3.6388
113,3.639
114,3.6391
115,3.6394
116,3.6396
117,3.6398
118,3.6401
119,3.6402
120,3.6404
121,3.6407
122,3.6409
123,3.641
124,3.6413
125,3.6415
126,3.6418
127,3.642
128,3.6421
129,3.6425
130,3.6426
131,3.6428
132,3.6431
133,3.6433
134,3.6434
135,3.6437
136,3.6439
137,3.644
138,3.6444
139,3.6445
140,3.6447
141,3.645
142,3.6452
143,3.6453
144,3.6456
145,3.6458
146,3.646
147,3.6461
148,3.6464
149,3.6466
150,3.6467
151,3.6469
152,3.6471
153,3.6474
154,3.6475
155,3.6477
156,3.6479
157,3.648
158,3.6482
159,3.6485
160,3.6487
161,3.6488
162,3.649
163,3.6491
164,3.6493
165,3.6494
166,3.6496
167,3.6498
168,3.6499
169,3.6501
170,3.6502
171,3.6504
172,3.6506
173,3.6509
174,3.651
175,3.6512
176,3.6514
177,3.6515
178,3.6517
179,3.6518
180,3.652
181,3.652
182,3.6521
183,3.6523
184,3.6525
185,3.6526
186,3.6528
187,3.6529
188,3.6531
189,3.6533
190,3.6534
191,3.6536
192,3.6536
193,3.6537
194,3.6539
195,3.6541
196,3.6542
197,3.6544
198,3.6545
199,3.6545
200,3.6547
201,3.6548
