,voltage
0,3.4185
1,3.4185
2,3.4185
3,3.4185
4,3.4185
5,3.4185
6,3.4185
7,3.4185
8,3.4185
9,3.4185
10,3.4185
11,3.4185
12,3.4185
13,3.4185
14,3.4185
15,3.4185
16,3.4185
17,3.4185
18,3.4185
19,3.4185
20,3.4185
21,3.4185
22,3.4185
23,3.4185
24,3.4185
25,3.4185
26,3.4185
27,3.4185
28,3.4185
29,3.4185
30,3.4185
31,3.4185
32,3.4185
33,3.4185
34,3.4185
35,3.4185
36,3.4185
37,3.4185
38,3.4185
39,3.4185
40,3.4185
41,3.4185
42,3.4185
43,3.4185
44,3.4185
45,3.4185
46,3.4185
47,3.4185
48,3.4185
49,3.4185
50,3.4185
51,3.4185
52,3.4185
53,3.4185
54,3.4185
55,3.4185
56,3.4185
57,3.4185
58,3.4185
59,3.4185
60,3.4185
61,3.5121
62,3.6148
63,3.6577
64,3.6544
65,3.6513
66,3.6488
67,3.6469
68,3.6455
69,3.6442
70,3.6431
71,3.6423
72,3.6415
73,3.6409
74,3.6404
75,3.6399
76,3.6396
77,3.6391
78,3.6388
79,3.6386
80,3.6383
81,3.6382
82,3.638
83,3.6378
84,3.6378
85,3.6377
86,3.6377
87,3.6375
88,3.6375
89,3.6375
90,3.6375
91,3.6375
92,3.6377
93,3.6377
94,3.6377
95,3.6377
96,3.6378
97,3.638
98,3.638
99,3.6382
100,3.6382
101,3.6383
102,3.6385
103,3.6386
104,3.6388
105,3.6388
106,3.6389
107,3.6391
108,3.6393
109,3.6394
110,3.6396
111,3.6397
112,3.6399
113,3.6401
114,3.6402
115,3.6405
116,3.6407
117,3.6409
118,3.641
119,3.6412
120,3.6413
121,3.6417
122,3.6418
123,3.642
124,3.6421
125,3.6423
126,3.6426
127,3.6428
128,3.6429
129,3.6431
130,3.6432
131,3.6436
132,3.6437
133,3.6439
134,3.644
135,3.6442
136,3.6445
137,3.6447
138,3.6448
139,3.645
140,3.6451
141,3.6455
142,3.6456
143,3.6458
144,3.6459
145,3.6461
146,3.6464
147,3.6466
148,3.6467
149,3.6469
150,3.6471
151,3.6472
152,3.6474
153,3.6475
154,3.6478
155,3.648
156,3.6482
157,3.6483
158,3.6485
159,3.6486
160,3.6488
161,3.649
162,3.6491
163,3.6493
164,3.6494
165,3.6496
166,3.6498
167,3.6499
168,3.6502
169,3.6504
170,3.6505
171,3.6507
172,3.6507
173,3.651
174,3.6512
175,3.6512
176,3.6513
177,3.6515
178,3.6517
179,3.6518
180,3.652
181,3.6521
182,3.6523
183,3.6525
184,3.6526
185,3.6528
186,3.6529
187,3.6531
188,3.6533
189,3.6533
190,3.6534
191,3.6536
192,3.6537
193,3.6539
194,3.654
195,3.6542
196,3.6542
197,3.6544
198,3.6545
199,3.6547
200,3.6548
201,3.6548
202,3.655
203,3.6552
204,3.6553
205,3.6555
206,3.6556
207,3.6556
208,3.6558
209,3.656
210,3.6561
211,3.6561
212,3.6563
213,3.6564
214,3.6566
215,3.6566
216,3.6567
217,3.6569
218,3.6569
219,3.6571
220,3.6572
221,3.6574
222,3.6574
223,3.6575
224,3.6577
225,3.6577
226,3.6579
227,3.658
228,3.6582
229,3.6582
230,3.6583
231,3.6583
232,3.6585
233,3.6587
234,3.6588
235,3.6588
236,3.659
237,3.659
238,3.6591
239,3.6593
240,3.6593
241,3.6594
242,3.6596
243,3.6596
244,3.6598
245,3.6598
246,3.6599
247,3.6601
248,3.6601
249,3.6602
250,3.6602
251,3.6604
252,3.6606
253,3.6606
254,3.6607
255,3.6607
256,3.6609
257,3.661
258,3.661
259,3.6612
260,3.6612
261,3.6614
262,3.6614
263,3.6615
264,3.6617
265,3.6617
266,3.6618
267,3.6618
268,3.662
269,3.662
270,3.6622
271,3.6622
272,3.6623
273,3.6623
274,3.6625
275,3.6625
276,3.6626
277,3.6628
278,3.6628
279,3.6628
280,3.6629
281,3.6629
282,3.6631
283,3.6633
284,3.6633
285,3.6634
286,3.6634
287,3.6636
288,3.6636
289,3.6637
290,3.6637
291,3.6639
292,3.6639
293,3.6641
294,3.6641
295,3.6642
296,3.6642
297,3.6644
298,3.6644
299,3.6645
300,3.6645
301,3.6647
302,3.6647
303,3.6647
304,3.6649
305,3.6649
306,3.665
307,3.665
308,3.6652
309,3.6652
310,3.6653
311,3.6653
312,3.6655
313,3.6655
314,3.6656
315,3.6656
316,3.6658
317,3.6658
318,3.666
319,3.666
320,3.666
321,3.6661
322,3.6661
323,3.6663
324,3.6663
325,3.6664
326,3.6664
327,3.6666
328,3.6666
329,3.6668
330,3.6668
331,3.6668
332,3.6669
333,3.6669
334,3.6671
335,3.6671
336,3.6672
337,3.6672
338,3.6672
339,3.6674
340,3.6674
341,3.6676
342,3.6676
343,3.6677
344,3.6677
345,3.6679
346,3.6679
347,3.6679
348,3.668
349,3.668
350,3.6682
351,3.6682
352,3.6683
353,3.6683
354,3.6683
355,3.6685
356,3.6685
357,3.6687
358,3.6687
359,3.6688
360,3.6688
361,3.6688
362,3.669
363,3.669
364,3.6691
365,3.6691
366,3.6691
367,3.6693
368,3.6693
369,3.6695
370,3.6695
371,3.6695
372,3.6696
373,3.6696
374,3.6698
375,3.6698
376,3.6699
377,3.6699
378,3.6699
379,3.6701
380,3.6701
381,3.6703
382,3.6703
383,3.6703
384,3.6704
385,3.6704
386,3.6706
387,3.6706
388,3.6706
389,3.6707
390,3.6707
391,3.6709
392,3.6709
393,3.671
394,3.671
395,3.671
396,3.6712
397,3.6712
398,3.6714
399,3.6714
400,3.6714
401,3.6715
402,3.6715
403,3.6715
404,3.6717
405,3.6717
406,3.6718
407,3.6718
408,3.6718
409,3.672
410,3.672
411,3.6722
412,3.6722
413,3.6723
414,3.6723
415,3.6723
416,3.6725
417,3.6725
418,3.6726
419,3.6726
420,3.6726
421,3.6728
422,3.6728
423,3.673
424,3.673
425,3.673
426,3.6731
427,3.6731
428,3.6731
429,3.6733
430,3.6733
431,3.6734
432,3.6734
433,3.6734
434,3.6736
435,3.6736
436,3.6738
437,3.6738
438,3.6738
439,3.6739
440,3.6739
441,3.6739
442,3.6741
443,3.6741
444,3.6742
445,3.6742
446,3.6742
447,3.6744
448,3.6744
449,3.6745
450,3.6745
451,3.6745
452,3.6747
453,3.6747
454,3.6747
455,3.6749
456,3.6749
457,3.675
458,3.675
459,3.675
460,3.6752
461,3.6752
462,3.6753
463,3.6753
464,3.6753
465,3.6753
466,3.6755
467,3.6755
468,3.6757
469,3.6757
470,3.6757
471,3.6758
472,3.6758
473,3.676
474,3.676
475,3.676
476,3.6761
477,3.6761
478,3.6761
479,3.6763
480,3.6763
481,3.6765
482,3.6765
483,3.6765
484,3.6766
485,3.6766
486,3.6766
487,3.6768
488,3.6768
489,3.6769
490,3.6769
491,3.6769
492,3.6771
493,3.6771
494,3.6771
495,3.6772
496,3.6772
497,3.6774
498,3.6774
499,3.6774
500,3.6776
501,3.6776
502,3.6777
503,3.6777
504,3.6777
505,3.6779
506,3.6779
507,3.6779
508,3.678
509,3.678
510,3.678
511,3.6782
512,3.6782
513,3.6784
514,3.6784
515,3.6784
516,3.6785
517,3.6785
518,3.6785
519,3.6787
520,3.6787
521,3.6788
522,3.6788
523,3.6788
524,3.679
525,3.679
526,3.679
527,3.6792
528,3.6792
529,3.6793
530,3.6793
531,3.6793
532,3.6795
533,3.6795
534,3.6795
535,3.6796
536,3.6796
537,3.6798
538,3.6798
539,3.6798
540,3.6799
541,3.6799
542,3.6801
543,3.6801
544,3.6801
545,3.6803
546,3.6803
547,3.6803
548,3.6804
549,3.6804
550,3.6806
551,3.6806
552,3.6806
553,3.6807
554,3.6807
555,3.6807
556,3.6809
557,3.6809
558,3.6811
559,3.6811
560,3.6811
561,3.6812
562,3.6812
563,3.6812
564,3.6814
565,3.6814
566,3.6815
567,3.6815
568,3.6815
569,3.6817
570,3.6817
571,3.6817
572,3.6819
573,3.6819
574,3.682
575,3.682
576,3.682
577,3.6822
578,3.6822
579,3.6822
580,3.6823
581,3.6823
582,3.6825
583,3.6825
584,3.6825
585,3.6826
586,3.6826
587,3.6826
588,3.6828
589,3.6828
590,3.683
591,3.683
592,3.683
593,3.6831
594,3.6831
595,3.6831
596,3.6833
597,3.6833
598,3.6833
599,3.6834
600,3.6834
601,3.6836
602,3.6836
603,3.6836
604,3.6838
605,3.6838
606,3.6839
607,3.6839
608,3.6839
609,3.6841
610,3.6841
611,3.6841
612,3.6842
613,3.6842
614,3.6844
615,3.6844
616,3.6844
617,3.6846
618,3.6846
619,3.6846
620,3.6847
621,3.6847
622,3.6849
623,3.6849
624,3.685
625,3.685
626,3.685
627,3.6852
628,3.6852
629,3.6852
630,3.6854
631,3.6854
632,3.6855
633,3.6855
634,3.6855
635,3.6857
636,3.6857
637,3.6857
638,3.6858
