,voltage
0,3.4142
1,3.4142
2,3.4179
3,3.4179
4,3.4179
5,3.4179
6,3.4179
7,3.4179
8,3.4179
9,3.4179
10,3.4179
11,3.4179
12,3.4179
13,3.4179
14,3.4179
15,3.4179
16,3.4179
17,3.4179
18,3.4179
19,3.4179
20,3.4179
21,3.4179
22,3.4179
23,3.4179
24,3.4179
25,3.4179
26,3.4179
27,3.4179
28,3.4179
29,3.4179
30,3.4179
31,3.4179
32,3.4179
33,3.4179
34,3.4179
35,3.4179
36,3.4179
37,3.4179
38,3.4179
39,3.4179
40,3.4179
41,3.4179
42,3.4179
43,3.4179
44,3.4179
45,3.4179
46,3.4179
47,3.4179
48,3.4179
49,3.4179
50,3.4179
51,3.4179
52,3.4179
53,3.4179
54,3.4179
55,3.4179
56,3.4179
57,3.4179
58,3.4179
59,3.4179
60,3.4179
61,3.4179
62,3.4179
63,3.5133
64,3.6133
65,3.6194
66,3.6231
67,3.6245
68,3.6253
69,3.6258
70,3.6261
71,3.6263
72,3.6264
73,3.6266
74,3.6268
75,3.6269
76,3.6269
77,3.6271
78,3.6272
79,3.6272
80,3.6274
81,3.6276
82,3.6277
83,3.6277
84,3.6279
85,3.628
86,3.628
87,3.6282
88,3.6283
89,3.6285
90,3.6287
91,3.6288
92,3.6288
93,3.629
94,3.6291
95,3.6293
96,3.6295
97,3.6296
98,3.6298
99,3.6299
100,3.6301
101,3.6303
102,3.6304
103,3.6306
104,3.6307
105,3.6309
106,3.631
107,3.6312
108,3.6314
109,3.6315
110,3.6317
111,3.6318
112,3.632
113,3.6322
114,3.6325
115,3.6326
116,3.6328
117,3.633
118,3.6331
119,3.6333
120,3.6334
121,3.6336
122,3.6339
123,3.6339
124,3.6342
125,3.6344
126,3.6345
127,3.6347
128,3.6349
129,3.635
130,3.6352
131,3.6355
132,3.6357
133,3.6358
134,3.636
135,3.6361
136,3.6363
137,3.6364
138,3.6366
139,3.6368
140,3.6369
141,3.6371
142,3.6372
143,3.6374
144,3.6376
145,3.6377
146,3.638
147,3.638
148,3.6382
149,3.6385
150,3.6385
151,3.6387
152,3.6388
153,3.639
154,3.6392
155,3.6393
156,3.6395
157,3.6396
158,3.6398
159,3.6399
160,3.6401
161,3.6403
162,3.6404
163,3.6406
164,3.6407
165,3.6409
166,3.6411
167,3.6411
168,3.6412
169,3.6414
170,3.6415
171,3.6417
172,3.6419
173,3.642
174,3.6422
175,3.6422
176,3.6423
177,3.6425
178,3.6426
179,3.6428
180,3.643
181,3.643
182,3.6431
183,3.6433
184,3.6434
185,3.6436
186,3.6436
187,3.6438
188,3.6439
189,3.6441
190,3.6441
191,3.6442
192,3.6444
193,3.6446
194,3.6447
195,3.6447
196,3.6449
197,3.645
198,3.645
199,3.6452
200,3.6453
201,3.6455
202,3.6455
203,3.6457
204,3.6458
205,3.6458
206,3.646
207,3.6461
208,3.6463
209,3.6463
210,3.6465
211,3.6466
212,3.6466
213,3.6468
214,3.6469
215,3.6469
216,3.6471
217,3.6473
218,3.6473
219,3.6474
220,3.6476
221,3.6476
222,3.6477
223,3.6479
224,3.6479
225,3.648
226,3.648
227,3.6482
228,3.6484
229,3.6484
230,3.6485
231,3.6487
232,3.6487
233,3.6488
234,3.6488
235,3.649
236,3.6492
237,3.6492
238,3.6493
239,3.6493
240,3.6495
241,3.6495
242,3.6496
243,3.6498
244,3.6498
245,3.65
246,3.65
247,3.6501
248,3.6503
249,3.6503
250,3.6504
251,3.6504
252,3.6506
253,3.6506
254,3.6507
255,3.6507
256,3.6509
257,3.6511
258,3.6511
259,3.6512
260,3.6512
261,3.6514
262,3.6514
263,3.6515
264,3.6515
265,3.6517
266,3.6517
267,3.6519
268,3.6519
269,3.652
270,3.652
271,3.6522
272,3.6522
273,3.6523
274,3.6523
275,3.6525
276,3.6525
277,3.6527
278,3.6528
279,3.6528
280,3.6528
281,3.653
282,3.6531
283,3.6531
284,3.6533
285,3.6533
286,3.6535
287,3.6535
288,3.6536
289,3.6536
290,3.6536
291,3.6538
292,3.6538
293,3.6539
294,3.6539
295,3.6541
296,3.6541
297,3.6542
298,3.6542
299,3.6544
300,3.6544
301,3.6546
302,3.6546
303,3.6547
304,3.6547
305,3.6549
306,3.6549
307,3.655
308,3.655
309,3.6552
310,3.6552
311,3.6552
312,3.6554
313,3.6554
314,3.6555
315,3.6555
316,3.6557
317,3.6557
318,3.6558
319,3.6558
320,3.656
321,3.656
322,3.6562
323,3.6562
324,3.6562
325,3.6563
326,3.6563
327,3.6565
328,3.6565
329,3.6566
330,3.6566
331,3.6568
332,3.6568
333,3.6569
334,3.6569
335,3.6569
336,3.6571
337,3.6571
338,3.6573
339,3.6573
340,3.6574
341,3.6574
342,3.6574
343,3.6576
344,3.6576
345,3.6577
346,3.6577
347,3.6579
348,3.6579
349,3.6579
350,3.6581
351,3.6581
352,3.6582
353,3.6582
354,3.6584
355,3.6584
356,3.6585
357,3.6585
358,3.6585
359,3.6587
360,3.6587
361,3.6589
362,3.6589
363,3.6589
364,3.659
365,3.659
366,3.6592
367,3.6592
368,3.6593
369,3.6593
370,3.6593
371,3.6595
372,3.6595
373,3.6596
374,3.6596
375,3.6598
376,3.6598
377,3.66
378,3.66
379,3.66
380,3.6601
381,3.6601
382,3.6603
383,3.6603
384,3.6603
385,3.6604
386,3.6604
387,3.6606
388,3.6606
389,3.6606
390,3.6608
391,3.6608
392,3.6609
393,3.6609
394,3.6611
395,3.6611
396,3.6611
397,3.6612
398,3.6612
399,3.6614
400,3.6614
401,3.6614
402,3.6616
403,3.6616
404,3.6617
405,3.6617
406,3.6619
407,3.6619
408,3.6619
409,3.662
410,3.662
411,3.6622
412,3.6622
413,3.6622
414,3.6623
415,3.6623
416,3.6625
417,3.6625
418,3.6625
419,3.6627
420,3.6627
421,3.6628
422,3.6628
423,3.6628
424,3.663
425,3.663
426,3.6631
427,3.6631
428,3.6631
429,3.6633
430,3.6633
431,3.6635
432,3.6635
433,3.6635
434,3.6636
435,3.6636
436,3.6638
437,3.6638
438,3.6639
439,3.6639
440,3.6639
441,3.6641
442,3.6641
443,3.6641
444,3.6643
445,3.6643
446,3.6644
447,3.6644
448,3.6644
449,3.6646
450,3.6646
451,3.6647
452,3.6647
453,3.6649
454,3.6649
455,3.6649
456,3.665
457,3.665
458,3.665
459,3.6652
460,3.6652
461,3.6654
462,3.6654
463,3.6654
464,3.6655
465,3.6655
466,3.6657
467,3.6657
468,3.6658
469,3.6658
470,3.6658
471,3.666
472,3.666
473,3.6662
474,3.6662
475,3.6662
476,3.6663
477,3.6663
478,3.6663
479,3.6665
480,3.6665
481,3.6666
482,3.6666
483,3.6668
484,3.6668
485,3.6668
486,3.667
487,3.667
488,3.667
489,3.6671
490,3.6671
491,3.6673
492,3.6673
493,3.6674
494,3.6674
495,3.6674
496,3.6676
497,3.6676
498,3.6676
499,3.6678
500,3.6678
501,3.6679
502,3.6679
503,3.6679
504,3.6681
505,3.6681
506,3.6682
507,3.6682
508,3.6682
509,3.6684
510,3.6684
511,3.6685
512,3.6685
513,3.6685
514,3.6687
515,3.6687
516,3.6689
517,3.6689
518,3.6689
519,3.669
520,3.669
521,3.6692
522,3.6692
523,3.6692
524,3.6693
525,3.6693
526,3.6693
527,3.6695
528,3.6695
529,3.6697
530,3.6697
531,3.6697
532,3.6698
533,3.6698
534,3.67
535,3.67
536,3.67
537,3.6701
538,3.6701
539,3.6703
540,3.6703
541,3.6703
542,3.6705
543,3.6705
544,3.6705
545,3.6706
546,3.6706
547,3.6708
548,3.6708
549,3.6709
550,3.6709
551,3.6709
552,3.6711
553,3.6711
554,3.6712
555,3.6712
556,3.6712
557,3.6714
558,3.6714
559,3.6716
560,3.6716
561,3.6716
562,3.6717
563,3.6717
564,3.6717
565,3.6719
566,3.6719
567,3.672
568,3.672
569,3.672
570,3.6722
571,3.6722
572,3.6724
573,3.6724
574,3.6724
575,3.6725
576,3.6725
577,3.6727
578,3.6727
579,3.6727
580,3.6728
581,3.6728
582,3.673
583,3.673
584,3.673
585,3.6732
586,3.6732
587,3.6733
588,3.6733
589,3.6733
590,3.6735
591,3.6735
592,3.6736
593,3.6736
594,3.6736
595,3.6738
596,3.6738
597,3.6738
598,3.6739
599,3.6739
600,3.6741
601,3.6741
602,3.6741
603,3.6743
604,3.6743
605,3.6744
606,3.6744
607,3.6744
608,3.6746
609,3.6746
610,3.6747
611,3.6747
612,3.6747
613,3.6749
614,3.6749
615,3.6751
616,3.6751
617,3.6751
618,3.6752
619,3.6752
620,3.6754
621,3.6754
622,3.6754
