,voltage
0,3.4165
1,3.4165
2,3.4165
3,3.4165
4,3.4165
5,3.4165
6,3.4165
7,3.4165
8,3.4165
9,3.4165
10,3.4165
11,3.4165
12,3.4165
13,3.4165
14,3.4165
15,3.4165
16,3.4165
17,3.4165
18,3.4165
19,3.4165
20,3.4165
21,3.4165
22,3.4165
23,3.4165
24,3.4165
25,3.4165
26,3.4165
27,3.4165
28,3.4165
29,3.4165
30,3.4165
31,3.4165
32,3.4165
33,3.4165
34,3.4165
35,3.4165
36,3.4165
37,3.4165
38,3.4165
39,3.4165
40,3.4165
41,3.4165
42,3.4165
43,3.4165
44,3.4165
45,3.4165
46,3.4165
47,3.4165
48,3.4165
49,3.4165
50,3.4165
51,3.4165
52,3.4165
53,3.4165
54,3.4165
55,3.4165
56,3.4165
57,3.4165
58,3.4165
59,3.4165
60,3.4165
61,3.493
62,3.5935
63,3.6204
64,3.6228
65,3.6231
66,3.6228
67,3.6224
68,3.6221
69,3.6218
70,3.6217
71,3.6215
72,3.6213
73,3.6212
74,3.6212
75,3.621
76,3.621
77,3.621
78,3.621
79,3.6212
80,3.6212
81,3.6212
82,3.6213
83,3.6215
84,3.6215
85,3.6217
86,3.6218
87,3.6218
88,3.622
89,3.6221
90,3.6223
91,3.6224
92,3.6226
93,3.6228
94,3.6229
95,3.6231
96,3.6232
97,3.6234
98,3.6236
99,3.6239
100,3.624
101,3.6242
102,3.6244
103,3.6245
104,3.6247
105,3.625
106,3.6251
107,3.6253
108,3.6255
109,3.6256
110,3.6259
111,3.6261
112,3.6263
113,3.6264
114,3.6266
115,3.6269
116,3.6271
117,3.6272
118,3.6274
119,3.6275
120,3.6277
121,3.628
122,3.6282
123,3.6283
124,3.6285
125,3.6286
126,3.629
127,3.6291
128,3.6293
129,3.6294
130,3.6296
131,3.6298
132,3.6301
133,3.6302
134,3.6304
135,3.6305
136,3.6307
137,3.6309
138,3.631
139,3.6313
140,3.6315
141,3.6317
142,3.6318
143,3.632
144,3.6321
145,3.6323
146,3.6325
147,3.6326
148,3.6328
149,3.6329
150,3.6332
151,3.6334
152,3.6336
153,3.6337
154,3.6339
155,3.634
156,3.6342
157,3.6344
158,3.6345
159,3.6347
160,3.6348
161,3.635
162,3.6352
163,3.6353
164,3.6355
165,3.6356
166,3.6358
167,3.636
168,3.6361
169,3.6361
170,3.6363
171,3.6364
172,3.6366
173,3.6367
174,3.6369
175,3.6371
176,3.6372
177,3.6374
178,3.6375
179,3.6375
180,3.6377
181,3.6379
182,3.638
183,3.6382
184,3.6383
185,3.6385
186,3.6387
187,3.6388
188,3.6388
189,3.639
190,3.6391
191,3.6393
192,3.6394
193,3.6394
194,3.6396
195,3.6398
196,3.6399
197,3.6401
198,3.6401
199,3.6402
200,3.6404
201,3.6406
202,3.6406
203,3.6407
204,3.6409
205,3.641
206,3.641
207,3.6412
208,3.6414
209,3.6415
210,3.6415
211,3.6417
212,3.6418
213,3.6418
214,3.642
215,3.6421
216,3.6423
217,3.6423
218,3.6425
219,3.6426
220,3.6426
221,3.6428
222,3.6429
223,3.6429
224,3.6431
225,3.6433
226,3.6433
227,3.6434
228,3.6436
229,3.6436
230,3.6437
231,3.6439
232,3.6439
233,3.6441
234,3.6442
235,3.6442
236,3.6444
237,3.6445
238,3.6445
239,3.6447
240,3.6447
241,3.6448
242,3.645
243,3.645
244,3.6452
245,3.6452
246,3.6453
247,3.6455
248,3.6455
249,3.6456
250,3.6456
251,3.6458
252,3.646
253,3.646
254,3.6461
255,3.6461
256,3.6463
257,3.6464
258,3.6464
259,3.6466
260,3.6466
261,3.6468
262,3.6468
263,3.6469
264,3.6469
265,3.6471
266,3.6472
267,3.6472
268,3.6474
269,3.6474
270,3.6475
271,3.6475
272,3.6477
273,3.6477
274,3.6479
275,3.648
276,3.648
277,3.6482
278,3.6482
279,3.6483
280,3.6483
281,3.6485
282,3.6485
283,3.6487
284,3.6487
285,3.6488
286,3.6488
287,3.649
288,3.649
289,3.6491
290,3.6491
291,3.6493
292,3.6493
293,3.6495
294,3.6495
295,3.6496
296,3.6496
297,3.6498
298,3.6498
299,3.6499
300,3.6501
301,3.6501
302,3.6502
303,3.6502
304,3.6502
305,3.6504
306,3.6504
307,3.6506
308,3.6506
309,3.6507
310,3.6507
311,3.6509
312,3.6509
313,3.651
314,3.651
315,3.6512
316,3.6512
317,3.6514
318,3.6514
319,3.6515
320,3.6515
321,3.6517
322,3.6517
323,3.6518
324,3.6518
325,3.652
326,3.652
327,3.6522
328,3.6522
329,3.6523
330,3.6523
331,3.6523
332,3.6525
333,3.6525
334,3.6526
335,3.6526
336,3.6528
337,3.6528
338,3.6529
339,3.6529
340,3.6529
341,3.6531
342,3.6531
343,3.6533
344,3.6533
345,3.6534
346,3.6534
347,3.6536
348,3.6536
349,3.6537
350,3.6537
351,3.6539
352,3.6539
353,3.6539
354,3.6541
355,3.6541
356,3.6542
357,3.6542
358,3.6544
359,3.6544
360,3.6545
361,3.6545
362,3.6547
363,3.6547
364,3.6547
365,3.6549
366,3.6549
367,3.655
368,3.655
369,3.6552
370,3.6552
371,3.6553
372,3.6553
373,3.6553
374,3.6555
375,3.6555
376,3.6557
377,3.6557
378,3.6558
379,3.6558
380,3.6558
381,3.656
382,3.656
383,3.6561
384,3.6561
385,3.6563
386,3.6563
387,3.6564
388,3.6564
389,3.6564
390,3.6566
391,3.6566
392,3.6568
393,3.6568
394,3.6569
395,3.6569
396,3.6569
397,3.6571
398,3.6571
399,3.6572
400,3.6572
401,3.6574
402,3.6574
403,3.6574
404,3.6576
405,3.6576
406,3.6577
407,3.6577
408,3.6577
409,3.6579
410,3.6579
411,3.658
412,3.658
413,3.6582
414,3.6582
415,3.6584
416,3.6584
417,3.6584
418,3.6585
419,3.6585
420,3.6587
421,3.6587
422,3.6588
423,3.6588
424,3.6588
425,3.659
426,3.659
427,3.6591
428,3.6591
429,3.6591
430,3.6593
431,3.6593
432,3.6595
433,3.6595
