,voltage
0,3.4225
1,3.4225
2,3.4225
3,3.4225
4,3.4224
5,3.4225
6,3.4225
7,3.4224
8,3.4225
9,3.4225
10,3.4225
11,3.4225
12,3.4225
13,3.4225
14,3.4225
15,3.4225
16,3.4225
17,3.4225
18,3.4225
19,3.4225
20,3.4225
21,3.4225
22,3.4225
23,3.4225
24,3.4225
25,3.4225
26,3.4225
27,3.4225
28,3.4225
29,3.4225
30,3.4225
31,3.4225
32,3.4225
33,3.4225
34,3.4225
35,3.4224
36,3.4224
37,3.4225
38,3.4225
39,3.4225
40,3.4225
41,3.4225
42,3.4225
43,3.4224
44,3.4224
45,3.4225
46,3.4225
47,3.4225
48,3.4224
49,3.4225
50,3.4224
51,3.4225
52,3.4225
53,3.4224
54,3.4224
55,3.4224
56,3.4225
57,3.4224
58,3.4225
59,3.4225
60,3.4224
61,3.5333
62,3.6369
63,3.6716
64,3.6641
65,3.6593
66,3.6558
67,3.6535
68,3.6514
69,3.6498
70,3.6485
71,3.6474
72,3.6465
73,3.6457
74,3.6449
75,3.6442
76,3.6436
77,3.6431
78,3.6426
79,3.6423
80,3.642
81,3.6417
82,3.6414
83,3.6412
84,3.6409
85,3.6409
86,3.6407
87,3.6406
88,3.6406
89,3.6404
90,3.6404
91,3.6404
92,3.6403
93,3.6404
94,3.6404
95,3.6404
96,3.6404
97,3.6406
98,3.6406
99,3.6407
100,3.6407
101,3.6409
102,3.6411
103,3.6411
104,3.6412
105,3.6414
106,3.6415
107,3.6415
108,3.6417
109,3.6419
110,3.642
111,3.6422
112,3.6423
113,3.6425
114,3.6426
115,3.6428
116,3.643
117,3.6431
118,3.6433
119,3.6434
120,3.6436
121,3.6438
122,3.6439
123,3.6441
124,3.6442
125,3.6444
126,3.6446
127,3.6447
128,3.6449
129,3.645
130,3.6452
131,3.6453
132,3.6457
133,3.6458
134,3.646
135,3.6461
136,3.6463
137,3.6465
138,3.6466
139,3.6468
140,3.6469
141,3.6471
142,3.6473
143,3.6474
144,3.6476
