,voltage
0,3.4211
1,3.4211
2,3.4211
3,3.4211
4,3.4211
5,3.4211
6,3.4211
7,3.4211
8,3.4211
9,3.4211
10,3.4211
11,3.4211
12,3.4211
13,3.4211
14,3.4211
15,3.4211
16,3.4211
17,3.4211
18,3.4211
19,3.4211
20,3.4211
21,3.4211
22,3.4211
23,3.4211
24,3.4211
25,3.4211
26,3.4211
27,3.4211
28,3.4211
29,3.4211
30,3.4211
31,3.4211
32,3.4211
33,3.4211
34,3.4211
35,3.4211
36,3.4211
37,3.4211
38,3.4211
39,3.4211
40,3.4211
41,3.4211
42,3.4211
43,3.4211
44,3.4211
45,3.4211
46,3.4211
47,3.4211
48,3.4211
49,3.4211
50,3.4211
51,3.4211
52,3.4211
53,3.4211
54,3.4211
55,3.4211
56,3.4211
57,3.4211
58,3.4211
59,3.4211
60,3.4211
61,3.53
62,3.6318
63,3.6662
64,3.6623
65,3.6592
66,3.6565
67,3.6546
68,3.6528
69,3.6515
70,3.6504
71,3.6496
72,3.6487
73,3.648
74,3.6474
75,3.6469
76,3.6465
77,3.6461
78,3.6458
79,3.6455
80,3.6452
81,3.645
82,3.6447
83,3.6446
84,3.6444
85,3.6442
86,3.6442
87,3.6441
88,3.6441
89,3.6439
90,3.6439
91,3.6439
92,3.6439
93,3.6439
94,3.6439
95,3.6439
96,3.6439
97,3.6441
98,3.6441
99,3.6441
100,3.6442
101,3.6442
102,3.6444
103,3.6444
104,3.6446
105,3.6446
106,3.6447
107,3.6449
108,3.6449
109,3.645
110,3.6452
111,3.6452
112,3.6453
113,3.6455
114,3.6457
115,3.6457
116,3.6458
117,3.646
118,3.6461
119,3.6463
120,3.6465
121,3.6465
122,3.6466
123,3.6468
124,3.6469
125,3.6471
126,3.6473
127,3.6474
128,3.6476
129,3.6477
130,3.6479
131,3.6479
132,3.648
133,3.6482
134,3.6484
135,3.6485
136,3.6487
137,3.6488
138,3.649
139,3.6492
140,3.6493
141,3.6495
142,3.6495
143,3.6496
144,3.6498
145,3.65
146,3.6501
147,3.6503
148,3.6504
149,3.6506
150,3.6508
151,3.6509
152,3.6509
153,3.6511
154,3.6512
155,3.6514
156,3.6515
157,3.6517
158,3.6519
159,3.652
160,3.652
161,3.6522
162,3.6523
163,3.6525
164,3.6527
165,3.6528
166,3.6528
167,3.653
168,3.6531
169,3.6533
170,3.6535
171,3.6536
172,3.6536
173,3.6538
174,3.6539
175,3.6541
176,3.6541
177,3.6542
178,3.6544
179,3.6546
180,3.6547
181,3.6547
182,3.6549
183,3.655
184,3.6552
185,3.6552
186,3.6554
187,3.6555
188,3.6557
189,3.6557
190,3.6558
191,3.656
192,3.656
193,3.6562
194,3.6563
195,3.6565
196,3.6565
197,3.6566
198,3.6568
199,3.6568
200,3.6569
201,3.6571
