,voltage
0,3.4223
1,3.4223
2,3.4223
3,3.4223
4,3.4223
5,3.4223
6,3.4223
7,3.4223
8,3.4223
9,3.4223
10,3.4223
11,3.4223
12,3.4223
13,3.4223
14,3.4223
15,3.4223
16,3.4223
17,3.4223
18,3.4223
19,3.4223
20,3.4223
21,3.4223
22,3.4223
23,3.4223
24,3.4223
25,3.4223
26,3.4223
27,3.4223
28,3.4223
29,3.4223
30,3.4223
31,3.4223
32,3.4223
33,3.4223
34,3.4223
35,3.4223
36,3.4223
37,3.4223
38,3.4223
39,3.4223
40,3.4223
41,3.4223
42,3.4223
43,3.4223
44,3.4223
45,3.4223
46,3.4223
47,3.4223
48,3.4223
49,3.4223
50,3.4223
51,3.4223
52,3.4223
53,3.4223
54,3.4223
55,3.4223
56,3.4223
57,3.4223
58,3.4223
59,3.4223
60,3.4223
61,3.5338
62,3.6339
63,3.641
64,3.6404
65,3.639
66,3.6379
67,3.6368
68,3.636
69,3.6353
70,3.6347
71,3.6342
72,3.6337
73,3.6334
74,3.6331
75,3.6329
76,3.6326
77,3.6325
78,3.6323
79,3.6322
80,3.6322
81,3.632
82,3.632
83,3.632
84,3.632
85,3.6318
86,3.6318
87,3.632
88,3.632
89,3.632
90,3.6322
91,3.6322
92,3.6323
93,3.6323
94,3.6325
95,3.6325
96,3.6326
97,3.6328
98,3.6328
99,3.6329
100,3.6331
101,3.6333
102,3.6334
103,3.6336
104,3.6337
105,3.6339
106,3.6341
107,3.6341
108,3.6342
109,3.6345
110,3.6347
111,3.6347
112,3.635
113,3.6352
114,3.6353
115,3.6355
116,3.6356
117,3.6358
118,3.636
119,3.6361
120,3.6363
121,3.6364
122,3.6366
123,3.6368
124,3.6369
125,3.6371
126,3.6372
127,3.6376
128,3.6377
129,3.6379
130,3.638
131,3.6382
132,3.6383
133,3.6385
134,3.6387
135,3.6388
136,3.639
137,3.6391
138,3.6393
139,3.6395
140,3.6396
141,3.6398
142,3.6399
143,3.6401
144,3.6403
145,3.6404
146,3.6406
147,3.6407
148,3.6409
149,3.641
150,3.6412
151,3.6414
152,3.6415
153,3.6417
154,3.6418
155,3.6418
156,3.642
157,3.6422
158,3.6423
159,3.6425
160,3.6426
161,3.6428
162,3.643
163,3.6431
164,3.6431
165,3.6433
166,3.6434
167,3.6436
168,3.6437
169,3.6439
170,3.6439
171,3.6441
172,3.6442
173,3.6444
174,3.6445
175,3.6447
176,3.6447
177,3.6449
178,3.645
179,3.6452
180,3.6452
181,3.6453
182,3.6455
183,3.6457
184,3.6458
185,3.6458
186,3.646
187,3.6461
188,3.6463
189,3.6463
190,3.6464
191,3.6466
192,3.6466
193,3.6468
194,3.6469
195,3.6471
196,3.6471
197,3.6472
198,3.6474
199,3.6474
200,3.6476
201,3.6477
202,3.6477
203,3.6479
204,3.648
205,3.648
206,3.6482
207,3.6484
208,3.6484
209,3.6485
210,3.6487
211,3.6487
212,3.6488
213,3.6488
214,3.649
215,3.6491
216,3.6491
217,3.6493
218,3.6495
219,3.6495
220,3.6496
221,3.6496
222,3.6498
223,3.6499
224,3.6499
225,3.6501
226,3.6501
227,3.6503
228,3.6503
229,3.6504
230,3.6506
231,3.6506
232,3.6507
233,3.6507
234,3.6509
235,3.6509
236,3.6511
237,3.6512
238,3.6512
239,3.6514
240,3.6514
241,3.6515
242,3.6515
243,3.6517
244,3.6517
245,3.6518
246,3.6518
247,3.652
248,3.6522
249,3.6522
250,3.6522
251,3.6523
252,3.6525
253,3.6525
254,3.6525
255,3.6526
256,3.6528
257,3.6528
258,3.6528
259,3.653
260,3.6531
261,3.6531
262,3.6533
263,3.6533
264,3.6534
265,3.6534
266,3.6536
267,3.6536
268,3.6538
269,3.6538
270,3.6538
271,3.6539
272,3.6539
273,3.6541
274,3.6542
275,3.6542
276,3.6542
277,3.6544
278,3.6544
279,3.6546
280,3.6546
281,3.6547
282,3.6547
283,3.6549
284,3.6549
285,3.655
286,3.655
287,3.6552
288,3.6552
289,3.6552
290,3.6553
291,3.6553
292,3.6555
293,3.6555
294,3.6557
295,3.6557
296,3.6558
297,3.6558
298,3.6558
299,3.656
300,3.6561
301,3.6561
302,3.6561
303,3.6563
304,3.6563
305,3.6565
306,3.6565
307,3.6566
308,3.6566
309,3.6566
310,3.6568
311,3.6568
312,3.6569
313,3.6569
314,3.6571
315,3.6571
316,3.6571
317,3.6573
318,3.6573
319,3.6574
320,3.6574
321,3.6576
322,3.6576
323,3.6576
324,3.6577
325,3.6577
326,3.6579
327,3.6579
328,3.658
329,3.658
330,3.658
331,3.6582
332,3.6582
333,3.6584
334,3.6584
335,3.6585
336,3.6585
337,3.6585
338,3.6587
339,3.6587
340,3.6588
341,3.6588
342,3.6588
343,3.659
344,3.659
345,3.6592
346,3.6592
347,3.6593
348,3.6593
349,3.6593
350,3.6595
351,3.6595
352,3.6596
353,3.6596
354,3.6596
355,3.6598
356,3.6598
357,3.66
358,3.66
359,3.6601
360,3.6601
361,3.6601
362,3.6603
363,3.6603
364,3.6603
365,3.6604
366,3.6604
367,3.6606
368,3.6606
369,3.6606
370,3.6607
371,3.6607
372,3.6609
373,3.6609
374,3.6611
375,3.6611
376,3.6611
377,3.6612
378,3.6612
379,3.6612
380,3.6614
381,3.6614
382,3.6615
383,3.6615
384,3.6617
385,3.6617
386,3.6617
387,3.6619
388,3.6619
389,3.662
390,3.662
391,3.662
392,3.6622
393,3.6622
394,3.6622
395,3.6623
396,3.6623
397,3.6625
398,3.6625
399,3.6625
400,3.6627
401,3.6627
402,3.6628
403,3.6628
404,3.6628
405,3.663
406,3.663
407,3.6631
408,3.6631
409,3.6631
410,3.6633
411,3.6633
412,3.6634
413,3.6634
414,3.6634
415,3.6636
416,3.6636
417,3.6636
418,3.6638
419,3.6638
420,3.6639
421,3.6639
422,3.6639
423,3.6641
424,3.6641
425,3.6642
426,3.6642
427,3.6642
428,3.6644
429,3.6644
430,3.6646
431,3.6646
432,3.6646
433,3.6647
434,3.6647
435,3.6649
436,3.6649
437,3.6649
438,3.665
439,3.665
440,3.6652
441,3.6652
442,3.6652
443,3.6654
444,3.6654
445,3.6654
446,3.6655
447,3.6655
448,3.6657
449,3.6657
450,3.6657
451,3.6658
452,3.6658
453,3.666
454,3.666
455,3.666
456,3.6661
457,3.6661
458,3.6663
459,3.6663
460,3.6663
461,3.6665
462,3.6665
463,3.6665
464,3.6666
465,3.6666
466,3.6668
467,3.6668
468,3.6668
469,3.6669
470,3.6669
471,3.6669
472,3.6671
473,3.6671
474,3.6673
475,3.6673
476,3.6673
477,3.6674
478,3.6674
479,3.6674
480,3.6676
481,3.6676
482,3.6677
483,3.6677
484,3.6677
485,3.6679
486,3.6679
487,3.6681
488,3.6681
489,3.6681
490,3.6682
491,3.6682
492,3.6684
493,3.6684
494,3.6684
495,3.6684
496,3.6685
497,3.6687
498,3.6687
499,3.6687
500,3.6688
501,3.6688
502,3.6688
503,3.669
504,3.669
505,3.6692
506,3.6692
507,3.6692
508,3.6693
509,3.6693
510,3.6695
511,3.6695
512,3.6695
513,3.6696
514,3.6696
515,3.6696
516,3.6698
517,3.6698
518,3.67
519,3.67
520,3.67
521,3.6701
522,3.6701
523,3.6701
524,3.6703
525,3.6703
526,3.6704
527,3.6704
528,3.6704
529,3.6706
530,3.6706
531,3.6708
532,3.6708
533,3.6708
534,3.6709
535,3.6709
536,3.6709
537,3.6711
538,3.6711
539,3.6712
540,3.6712
541,3.6712
542,3.6714
543,3.6714
544,3.6714
545,3.6715
546,3.6715
547,3.6717
548,3.6717
549,3.6717
550,3.6719
551,3.6719
552,3.672
553,3.672
554,3.672
555,3.6722
556,3.6722
557,3.6723
558,3.6723
559,3.6723
560,3.6725
561,3.6725
562,3.6727
563,3.6727
564,3.6727
565,3.6728
566,3.6728
567,3.6728
568,3.673
569,3.673
570,3.6731
571,3.6731
572,3.6731
573,3.6733
574,3.6733
575,3.6733
576,3.6735
577,3.6735
578,3.6736
579,3.6736
580,3.6736
581,3.6738
582,3.6738
583,3.6739
584,3.6739
585,3.6739
586,3.6741
587,3.6741
588,3.6742
