,voltage
0,3.4208
1,3.4208
2,3.4208
3,3.4208
4,3.4208
5,3.4208
6,3.4208
7,3.4208
8,3.4208
9,3.4208
10,3.4208
11,3.4208
12,3.4208
13,3.4208
14,3.4208
15,3.4208
16,3.4208
17,3.4208
18,3.4208
19,3.4208
20,3.4206
21,3.4208
22,3.4208
23,3.4208
24,3.4208
25,3.4208
26,3.4208
27,3.4208
28,3.4208
29,3.4208
30,3.4208
31,3.4208
32,3.4208
33,3.4208
34,3.4208
35,3.4208
36,3.4208
37,3.4208
38,3.4208
39,3.4208
40,3.4208
41,3.4208
42,3.4208
43,3.4208
44,3.4208
45,3.4208
46,3.4206
47,3.4208
48,3.4208
49,3.4208
50,3.4208
51,3.4206
52,3.4208
53,3.4208
54,3.4208
55,3.4208
56,3.4208
57,3.4208
58,3.4206
59,3.4206
60,3.4208
61,3.5546
62,3.6469
63,3.6415
64,3.6382
65,3.636
66,3.6344
67,3.6331
68,3.632
69,3.631
70,3.6304
71,3.6298
72,3.6291
73,3.6287
74,3.6283
75,3.6279
76,3.6276
77,3.6274
78,3.6271
79,3.6269
80,3.6266
81,3.6266
82,3.6264
83,3.6263
84,3.6263
85,3.6261
86,3.6261
87,3.6261
88,3.6261
89,3.6261
90,3.6261
91,3.6261
92,3.6261
93,3.6263
94,3.6263
95,3.6264
96,3.6264
97,3.6264
98,3.6266
99,3.6268
100,3.6269
101,3.6269
102,3.6271
103,3.6272
104,3.6274
105,3.6274
106,3.6276
107,3.6277
108,3.6279
109,3.628
110,3.6282
111,3.6283
112,3.6285
113,3.6287
114,3.6288
115,3.629
116,3.6291
117,3.6293
118,3.6295
119,3.6296
120,3.6298
121,3.6299
122,3.6301
123,3.6304
124,3.6306
125,3.6307
126,3.6309
127,3.631
128,3.6312
129,3.6314
130,3.6315
131,3.6318
132,3.632
133,3.6322
134,3.6323
135,3.6325
136,3.6326
137,3.6328
138,3.633
139,3.6331
140,3.6334
141,3.6336
142,3.6337
143,3.6339
144,3.6341
145,3.6342
146,3.6344
147,3.6345
148,3.6347
149,3.6349
150,3.635
151,3.6352
152,3.6353
153,3.6355
154,3.6357
155,3.6358
156,3.636
157,3.6361
158,3.6363
159,3.6364
160,3.6366
161,3.6368
162,3.6369
163,3.6371
164,3.6372
165,3.6374
166,3.6376
167,3.6377
168,3.6379
169,3.638
170,3.6382
171,3.6384
172,3.6385
173,3.6387
174,3.6388
175,3.639
176,3.639
177,3.6392
178,3.6393
179,3.6395
180,3.6396
181,3.6398
182,3.6399
183,3.6401
184,3.6401
185,3.6403
186,3.6404
187,3.6406
188,3.6407
189,3.6407
190,3.6409
191,3.6411
192,3.6412
193,3.6414
194,3.6414
195,3.6415
196,3.6417
197,3.6419
198,3.642
199,3.642
200,3.6422
201,3.6423
202,3.6425
203,3.6425
204,3.6426
205,3.6428
206,3.643
207,3.643
208,3.6431
209,3.6433
210,3.6433
211,3.6434
212,3.6436
213,3.6438
214,3.6438
215,3.6439
216,3.6441
217,3.6441
218,3.6442
219,3.6444
220,3.6444
221,3.6446
222,3.6447
223,3.6447
224,3.6449
225,3.645
226,3.645
227,3.6452
228,3.6453
229,3.6453
230,3.6455
231,3.6457
232,3.6457
233,3.6458
234,3.6458
235,3.646
236,3.6461
237,3.6461
238,3.6463
239,3.6465
240,3.6465
241,3.6466
242,3.6466
243,3.6468
244,3.6469
245,3.6469
246,3.6471
247,3.6471
248,3.6473
249,3.6473
250,3.6474
251,3.6476
252,3.6476
253,3.6477
254,3.6479
255,3.6479
256,3.648
257,3.648
258,3.6482
259,3.6482
260,3.6484
261,3.6484
262,3.6485
263,3.6487
264,3.6487
265,3.6488
266,3.6488
267,3.6488
268,3.649
269,3.6492
270,3.6492
271,3.6493
272,3.6493
273,3.6495
274,3.6495
275,3.6496
276,3.6496
277,3.6498
278,3.6498
279,3.65
280,3.6501
281,3.6501
282,3.6503
283,3.6503
284,3.6503
285,3.6504
286,3.6506
287,3.6506
288,3.6507
289,3.6507
290,3.6509
291,3.6509
292,3.6511
293,3.6511
294,3.6512
295,3.6512
296,3.6512
297,3.6514
298,3.6515
299,3.6515
300,3.6515
301,3.6517
302,3.6517
303,3.6519
304,3.6519
305,3.652
306,3.652
307,3.6522
308,3.6522
309,3.6523
310,3.6523
311,3.6525
312,3.6525
313,3.6527
314,3.6527
315,3.6528
316,3.6528
317,3.653
318,3.653
319,3.653
320,3.6531
321,3.6531
322,3.6533
323,3.6533
324,3.6535
325,3.6535
326,3.6536
327,3.6536
328,3.6538
329,3.6538
330,3.6539
331,3.6539
332,3.6539
333,3.6541
334,3.6541
335,3.6542
336,3.6542
337,3.6544
338,3.6544
339,3.6546
340,3.6546
341,3.6546
342,3.6547
343,3.6547
344,3.6549
345,3.6549
346,3.655
347,3.655
348,3.655
349,3.6552
350,3.6552
351,3.6554
352,3.6554
353,3.6555
354,3.6555
355,3.6557
356,3.6557
357,3.6557
358,3.6558
359,3.6558
360,3.656
361,3.656
362,3.6562
363,3.6562
364,3.6563
365,3.6563
366,3.6563
367,3.6565
368,3.6565
369,3.6566
370,3.6566
371,3.6568
372,3.6568
373,3.6568
374,3.6569
375,3.6569
376,3.6571
377,3.6571
378,3.6571
379,3.6573
380,3.6573
381,3.6574
382,3.6574
383,3.6576
384,3.6576
385,3.6576
386,3.6577
387,3.6577
388,3.6579
389,3.6579
390,3.6579
