,voltage
0,3.4182
1,3.4182
2,3.4182
3,3.4182
4,3.418
5,3.4182
6,3.4182
7,3.4182
8,3.4182
9,3.4182
10,3.4182
11,3.4182
12,3.4182
13,3.4182
14,3.4182
15,3.4182
16,3.4182
17,3.4182
18,3.4182
19,3.4182
20,3.4182
21,3.4182
22,3.4182
23,3.4182
24,3.4182
25,3.4182
26,3.4182
27,3.4182
28,3.4182
29,3.4182
30,3.4182
31,3.4182
32,3.4182
33,3.4182
34,3.4182
35,3.4182
36,3.4182
37,3.4182
38,3.4182
39,3.4182
40,3.4182
41,3.4182
42,3.4182
43,3.4182
44,3.4182
45,3.4182
46,3.4182
47,3.4182
48,3.4182
49,3.4182
50,3.4182
51,3.4182
52,3.4182
53,3.4182
54,3.4182
55,3.4182
56,3.4182
57,3.4182
58,3.4182
59,3.4182
60,3.4182
61,3.482
62,3.5866
63,3.6534
64,3.653
65,3.6511
66,3.6491
67,3.6477
68,3.6463
69,3.6453
70,3.6445
71,3.6437
72,3.6433
73,3.6426
74,3.6423
75,3.6418
76,3.6415
77,3.6414
78,3.641
79,3.6409
80,3.6407
81,3.6406
82,3.6406
83,3.6404
84,3.6404
85,3.6403
86,3.6403
87,3.6403
88,3.6403
89,3.6403
90,3.6403
91,3.6403
92,3.6404
93,3.6404
94,3.6404
95,3.6406
96,3.6406
97,3.6407
98,3.6407
99,3.6409
100,3.6409
101,3.641
102,3.6412
103,3.6412
104,3.6414
105,3.6415
106,3.6415
107,3.6417
108,3.6418
109,3.642
110,3.642
111,3.6422
112,3.6423
113,3.6425
114,3.6426
115,3.6428
116,3.643
117,3.6431
118,3.6431
119,3.6433
120,3.6434
121,3.6436
122,3.6437
123,3.6439
124,3.6441
125,3.6442
126,3.6444
127,3.6445
128,3.6447
129,3.6449
130,3.645
131,3.6452
132,3.6453
133,3.6455
134,3.6457
135,3.6458
136,3.646
137,3.6461
138,3.6463
139,3.6464
140,3.6466
141,3.6468
142,3.6469
143,3.6469
144,3.6471
145,3.6472
146,3.6474
147,3.6476
148,3.6477
149,3.6479
150,3.648
151,3.6482
152,3.6484
153,3.6485
154,3.6487
155,3.6488
156,3.649
157,3.6491
158,3.6493
159,3.6495
160,3.6495
161,3.6496
162,3.6498
163,3.6499
164,3.6501
165,3.6503
166,3.6504
167,3.6506
168,3.6507
169,3.6509
170,3.6509
171,3.6511
172,3.6512
173,3.6514
174,3.6515
175,3.6517
176,3.6517
177,3.6518
178,3.652
179,3.6522
180,3.6523
181,3.6525
182,3.6525
183,3.6526
184,3.6528
185,3.653
186,3.653
187,3.6531
188,3.6533
189,3.6534
190,3.6536
191,3.6536
192,3.6538
193,3.6539
194,3.6541
195,3.6541
196,3.6542
197,3.6544
198,3.6544
199,3.6545
200,3.6547
201,3.6549
202,3.6549
203,3.655
204,3.6552
205,3.6553
206,3.6553
207,3.6555
208,3.6555
209,3.6557
210,3.6558
211,3.656
212,3.656
213,3.6561
214,3.6563
215,3.6563
216,3.6565
217,3.6565
218,3.6566
219,3.6568
220,3.6568
221,3.6569
222,3.6571
223,3.6571
224,3.6572
225,3.6574
226,3.6574
227,3.6576
228,3.6576
229,3.6577
230,3.6579
231,3.6579
232,3.658
233,3.658
234,3.6582
235,3.6584
236,3.6584
237,3.6585
238,3.6585
239,3.6587
240,3.6587
241,3.6588
242,3.659
243,3.659
244,3.6592
245,3.6592
246,3.6593
247,3.6593
248,3.6595
249,3.6595
250,3.6596
251,3.6596
252,3.6598
253,3.6599
254,3.6599
255,3.6601
256,3.6601
257,3.6603
258,3.6603
259,3.6604
260,3.6604
261,3.6606
262,3.6606
263,3.6607
264,3.6607
265,3.6609
266,3.6609
267,3.6611
268,3.6611
269,3.6612
270,3.6614
271,3.6614
272,3.6615
273,3.6615
274,3.6617
275,3.6617
276,3.6617
277,3.6619
278,3.6619
279,3.662
280,3.662
281,3.6622
282,3.6622
283,3.6623
284,3.6623
285,3.6625
286,3.6625
287,3.6626
288,3.6626
289,3.6628
290,3.6628
291,3.6628
292,3.663
293,3.663
294,3.6631
295,3.6631
296,3.6633
297,3.6633
298,3.6634
299,3.6634
300,3.6634
301,3.6636
302,3.6636
303,3.6638
304,3.6638
305,3.6639
306,3.6639
307,3.6641
308,3.6641
309,3.6641
310,3.6642
311,3.6642
312,3.6644
313,3.6644
314,3.6646
315,3.6646
316,3.6647
317,3.6647
318,3.6647
319,3.6649
320,3.6649
321,3.665
322,3.665
323,3.665
324,3.6652
325,3.6652
326,3.6653
327,3.6653
328,3.6655
329,3.6655
330,3.6655
331,3.6657
332,3.6657
333,3.6658
334,3.6658
335,3.666
336,3.666
337,3.666
338,3.6661
339,3.6661
340,3.6661
341,3.6663
342,3.6663
343,3.6665
344,3.6665
345,3.6665
346,3.6666
347,3.6666
348,3.6668
349,3.6668
350,3.6668
351,3.6669
352,3.6669
353,3.6671
354,3.6671
355,3.6671
356,3.6673
357,3.6673
358,3.6674
359,3.6674
360,3.6674
361,3.6676
362,3.6676
363,3.6676
364,3.6677
365,3.6677
366,3.6679
367,3.6679
368,3.6679
369,3.6681
370,3.6681
371,3.6681
372,3.6682
373,3.6682
374,3.6684
375,3.6684
376,3.6684
377,3.6685
378,3.6685
379,3.6687
380,3.6687
381,3.6687
382,3.6688
383,3.6688
384,3.6688
385,3.669
386,3.669
387,3.669
388,3.6692
389,3.6692
390,3.6692
391,3.6693
392,3.6693
393,3.6695
394,3.6695
395,3.6695
396,3.6696
397,3.6696
398,3.6696
399,3.6698
400,3.6698
401,3.67
402,3.67
403,3.67
404,3.6701
405,3.6701
406,3.6701
407,3.6703
408,3.6703
409,3.6704
410,3.6704
411,3.6704
412,3.6706
413,3.6706
414,3.6706
415,3.6708
416,3.6708
417,3.6708
418,3.6709
419,3.6709
420,3.6711
421,3.6711
422,3.6711
423,3.6712
424,3.6712
425,3.6712
426,3.6714
427,3.6714
428,3.6715
429,3.6715
430,3.6715
431,3.6717
432,3.6717
433,3.6717
434,3.6719
435,3.6719
436,3.6719
437,3.672
438,3.672
439,3.672
440,3.6722
441,3.6722
442,3.6723
443,3.6723
444,3.6723
445,3.6725
446,3.6725
447,3.6725
448,3.6727
449,3.6727
450,3.6727
451,3.6728
452,3.6728
453,3.6728
454,3.673
455,3.673
456,3.673
457,3.6731
458,3.6731
459,3.6731
460,3.6733
461,3.6733
462,3.6735
463,3.6735
464,3.6735
465,3.6736
466,3.6736
467,3.6736
468,3.6738
469,3.6738
470,3.6738
471,3.6739
472,3.6739
473,3.6739
474,3.6741
475,3.6741
476,3.6742
477,3.6742
478,3.6742
479,3.6742
480,3.6744
481,3.6744
482,3.6746
483,3.6746
484,3.6746
485,3.6747
486,3.6747
487,3.6747
488,3.6749
489,3.6749
490,3.6749
491,3.675
492,3.675
493,3.675
494,3.6752
495,3.6752
496,3.6754
497,3.6754
498,3.6754
499,3.6755
500,3.6755
501,3.6755
502,3.6757
503,3.6757
504,3.6757
505,3.6758
506,3.6758
507,3.6758
508,3.676
509,3.676
510,3.676
511,3.6762
512,3.6762
513,3.6762
514,3.6763
515,3.6763
516,3.6763
517,3.6765
518,3.6765
519,3.6765
520,3.6766
521,3.6766
522,3.6766
523,3.6768
524,3.6768
525,3.6768
526,3.6769
527,3.6769
528,3.6771
529,3.6771
530,3.6771
531,3.6771
532,3.6773
533,3.6773
534,3.6774
535,3.6774
536,3.6774
537,3.6776
538,3.6776
539,3.6776
540,3.6777
541,3.6777
542,3.6779
543,3.6779
544,3.6779
545,3.6781
546,3.6781
547,3.6781
548,3.6782
549,3.6782
550,3.6782
551,3.6784
552,3.6784
553,3.6784
554,3.6785
555,3.6785
556,3.6785
557,3.6787
558,3.6787
559,3.6787
560,3.6789
561,3.6789
562,3.6789
563,3.679
564,3.679
565,3.679
566,3.6792
567,3.6792
568,3.6793
569,3.6793
570,3.6793
571,3.6795
572,3.6795
573,3.6795
574,3.6796
575,3.6796
576,3.6796
577,3.6798
578,3.6798
579,3.6798
580,3.68
581,3.68
582,3.68
583,3.6801
584,3.6801
585,3.6803
586,3.6803
587,3.6803
588,3.6804
589,3.6804
590,3.6804
591,3.6806
592,3.6806
593,3.6806
594,3.6808
595,3.6808
596,3.6809
597,3.6809
598,3.6809
599,3.6809
600,3.6811
601,3.6811
602,3.6812
603,3.6812
604,3.6812
605,3.6814
606,3.6814
607,3.6816
608,3.6816
609,3.6816
610,3.6817
611,3.6817
612,3.6817
613,3.6819
614,3.6819
615,3.6819
616,3.682
617,3.682
618,3.682
619,3.6822
620,3.6822
621,3.6823
622,3.6823
623,3.6823
624,3.6825
625,3.6825
626,3.6825
627,3.6827
628,3.6827
629,3.6827
630,3.6828
631,3.6828
632,3.6828
633,3.683
634,3.683
635,3.683
636,3.6831
637,3.6831
638,3.6833
639,3.6833
640,3.6833
641,3.6835
642,3.6835
643,3.6835
644,3.6836
645,3.6836
646,3.6838
647,3.6838
648,3.6838
649,3.6839
650,3.6839
651,3.6839
652,3.6841
653,3.6841
654,3.6841
655,3.6843
656,3.6843
657,3.6844
658,3.6844
659,3.6844
660,3.6846
661,3.6846
662,3.6846
663,3.6847
664,3.6847
665,3.6847
666,3.6849
667,3.6849
668,3.685
669,3.685
670,3.685
671,3.6852
672,3.6852
673,3.6852
674,3.6854
675,3.6854
676,3.6855
677,3.6855
678,3.6855
679,3.6857
680,3.6857
681,3.6857
682,3.6858
683,3.6858
684,3.6858
685,3.686
686,3.686
687,3.6862
688,3.6862
689,3.6862
690,3.6863
691,3.6863
692,3.6865
693,3.6865
694,3.6865
695,3.6866
696,3.6866
697,3.6866
698,3.6868
699,3.6868
700,3.687
701,3.687
702,3.687
703,3.6871
704,3.6871
705,3.6871
706,3.6873
707,3.6873
708,3.6874
709,3.6874
710,3.6874
711,3.6876
712,3.6876
713,3.6877
714,3.6877
715,3.6877
716,3.6879
717,3.6879
718,3.6879
719,3.6881
720,3.6881
721,3.6882
722,3.6882
723,3.6882
724,3.6884
725,3.6884
726,3.6885
727,3.6885
728,3.6885
729,3.6887
730,3.6887
731,3.6887
732,3.6889
733,3.6889
734,3.689
735,3.689
736,3.689
737,3.6892
738,3.6892
739,3.6892
740,3.6893
741,3.6893
742,3.6895
743,3.6895
744,3.6895
745,3.6897
746,3.6897
747,3.6898
748,3.6898
749,3.6898
750,3.69
751,3.69
752,3.69
753,3.6901
754,3.6901
755,3.6903
756,3.6903
757,3.6903
758,3.6904
759,3.6904
760,3.6906
761,3.6906
762,3.6906
763,3.6908
764,3.6908
765,3.6909
766,3.6909
767,3.6909
768,3.6911
769,3.6911
770,3.6911
771,3.6912
772,3.6912
773,3.6914
774,3.6914
775,3.6916
776,3.6916
777,3.6916
778,3.6917
779,3.6917
780,3.6917
781,3.6919
782,3.6919
783,3.692
784,3.692
785,3.6922
786,3.6922
787,3.6922
788,3.6924
789,3.6924
790,3.6925
791,3.6925
792,3.6925
793,3.6927
794,3.6927
795,3.6927
796,3.6928
797,3.6928
798,3.693
799,3.693
800,3.693
801,3.6931
802,3.6931
803,3.6933
804,3.6933
