,voltage
0,3.4143
1,3.4143
2,3.4143
3,3.4143
4,3.4143
5,3.4143
6,3.4143
7,3.4143
8,3.4143
9,3.4143
10,3.4143
11,3.4143
12,3.4143
13,3.4143
14,3.4143
15,3.4143
16,3.4143
17,3.4143
18,3.4143
19,3.4143
20,3.4143
21,3.4143
22,3.4143
23,3.4143
24,3.4143
25,3.4143
26,3.4143
27,3.4143
28,3.4143
29,3.4143
30,3.4143
31,3.4143
32,3.4143
33,3.4143
34,3.4143
35,3.4143
36,3.4143
37,3.4143
38,3.4143
39,3.4143
40,3.4143
41,3.4143
42,3.4143
43,3.4143
44,3.4143
45,3.4143
46,3.4143
47,3.4143
48,3.4143
49,3.4143
50,3.4143
51,3.4143
52,3.4143
53,3.4143
54,3.4143
55,3.4143
56,3.4143
57,3.4143
58,3.4143
59,3.4143
60,3.4143
61,3.5036
62,3.6051
63,3.6476
64,3.6477
65,3.6463
66,3.6449
67,3.6438
68,3.6426
69,3.6419
70,3.6412
71,3.6406
72,3.6401
73,3.6396
74,3.6393
75,3.639
76,3.6387
77,3.6384
78,3.6382
79,3.638
80,3.6379
81,3.6379
82,3.6377
83,3.6377
84,3.6377
85,3.6377
86,3.6377
87,3.6377
88,3.6377
89,3.6377
90,3.6379
91,3.6379
92,3.6379
93,3.638
94,3.6382
95,3.6382
96,3.6384
97,3.6385
98,3.6387
99,3.6387
100,3.6388
101,3.639
102,3.6392
103,3.6393
104,3.6395
105,3.6396
106,3.6398
107,3.6399
108,3.6401
109,3.6403
110,3.6404
111,3.6407
112,3.6409
113,3.6411
114,3.6412
115,3.6414
116,3.6415
117,3.6419
118,3.642
119,3.6422
120,3.6423
121,3.6425
122,3.6428
123,3.643
124,3.6431
125,3.6433
126,3.6436
127,3.6438
128,3.6439
129,3.6441
130,3.6444
131,3.6446
132,3.6447
133,3.6449
134,3.645
135,3.6452
136,3.6455
137,3.6457
138,3.6458
139,3.646
140,3.6461
141,3.6465
142,3.6466
143,3.6468
144,3.6469
145,3.6471
146,3.6473
147,3.6476
148,3.6477
149,3.6479
150,3.648
151,3.6482
152,3.6484
153,3.6485
154,3.6487
155,3.6488
156,3.649
157,3.6492
158,3.6495
159,3.6496
160,3.6496
161,3.65
162,3.6501
163,3.6503
164,3.6504
165,3.6506
166,3.6507
167,3.6509
168,3.6511
169,3.6512
170,3.6514
171,3.6514
172,3.6517
173,3.6517
174,3.6519
175,3.652
176,3.6522
177,3.6523
