,voltage
0,3.4205
1,3.4205
2,3.4205
3,3.4205
4,3.4205
5,3.4205
6,3.4205
7,3.4205
8,3.4205
9,3.4205
10,3.4205
11,3.4205
12,3.4205
13,3.4205
14,3.4205
15,3.4205
16,3.4205
17,3.4205
18,3.4205
19,3.4205
20,3.4205
21,3.4205
22,3.4205
23,3.4205
24,3.4205
25,3.4205
26,3.4205
27,3.4205
28,3.4205
29,3.4205
30,3.4205
31,3.4205
32,3.4205
33,3.4205
34,3.4205
35,3.4205
36,3.4205
37,3.4205
38,3.4205
39,3.4205
40,3.4205
41,3.4205
42,3.4205
43,3.4205
44,3.4205
45,3.4205
46,3.4205
47,3.4205
48,3.4205
49,3.4205
50,3.4205
51,3.4205
52,3.4205
53,3.4205
54,3.4205
55,3.4205
56,3.4205
57,3.4205
58,3.4205
59,3.4205
60,3.4205
61,3.5929
62,3.6747
63,3.6676
64,3.6631
65,3.66
66,3.6576
67,3.6558
68,3.6542
69,3.653
70,3.6518
71,3.6511
72,3.6503
73,3.6495
74,3.6488
75,3.6484
76,3.6479
77,3.6474
78,3.6471
79,3.6468
80,3.6464
81,3.6463
82,3.646
83,3.6458
84,3.6457
85,3.6455
86,3.6453
87,3.6453
88,3.6452
89,3.6452
90,3.6452
91,3.6452
92,3.6452
93,3.6452
94,3.6452
95,3.6452
96,3.6452
97,3.6453
98,3.6453
99,3.6453
100,3.6455
101,3.6455
102,3.6457
103,3.6457
104,3.6458
105,3.646
106,3.6461
107,3.6461
108,3.6463
109,3.6464
110,3.6466
111,3.6466
112,3.6468
113,3.6469
114,3.6471
115,3.6472
116,3.6474
117,3.6476
118,3.6477
119,3.6477
120,3.6479
121,3.648
122,3.6482
123,3.6484
124,3.6485
125,3.6487
126,3.6488
127,3.649
128,3.6491
129,3.6493
130,3.6495
131,3.6496
132,3.6498
133,3.6499
134,3.6501
135,3.6503
136,3.6504
137,3.6506
138,3.6507
139,3.6509
140,3.6511
141,3.6512
142,3.6514
143,3.6515
144,3.6517
145,3.6518
146,3.652
147,3.6522
148,3.6523
149,3.6525
150,3.6526
151,3.6528
152,3.653
153,3.6531
154,3.6533
155,3.6534
156,3.6536
157,3.6538
158,3.6539
159,3.6541
160,3.6542
161,3.6544
162,3.6544
163,3.6546
164,3.6547
165,3.6549
166,3.655
167,3.6552
168,3.6553
169,3.6555
170,3.6557
171,3.6557
172,3.6558
173,3.656
174,3.6561
175,3.6563
176,3.6563
177,3.6565
178,3.6566
179,3.6568
180,3.6569
181,3.6571
182,3.6571
183,3.6573
184,3.6574
185,3.6576
186,3.6576
187,3.6577
188,3.6579
189,3.658
190,3.658
191,3.6582
192,3.6584
193,3.6585
194,3.6585
195,3.6587
196,3.6588
197,3.659
198,3.659
199,3.6592
200,3.6593
201,3.6593
202,3.6595
203,3.6596
204,3.6596
205,3.6598
206,3.66
207,3.66
208,3.6601
209,3.6603
210,3.6603
211,3.6604
212,3.6606
213,3.6606
214,3.6607
215,3.6609
216,3.6609
217,3.6611
218,3.6611
219,3.6612
220,3.6614
221,3.6614
222,3.6615
223,3.6615
224,3.6617
225,3.6619
226,3.6619
227,3.662
228,3.662
229,3.6622
230,3.6623
231,3.6623
232,3.6625
233,3.6625
234,3.6627
235,3.6627
236,3.6628
237,3.6628
238,3.663
239,3.6631
240,3.6631
241,3.6633
