,voltage
0,3.4053
1,3.4053
2,3.4053
3,3.4053
4,3.4053
5,3.4053
6,3.4053
7,3.4053
8,3.4053
9,3.4053
10,3.4053
11,3.4053
12,3.4053
13,3.4053
14,3.4053
15,3.4053
16,3.4053
17,3.4053
18,3.4053
19,3.4053
20,3.4053
21,3.4053
22,3.4053
23,3.4053
24,3.4053
25,3.4053
26,3.4053
27,3.4053
28,3.4053
29,3.4053
30,3.4053
31,3.4053
32,3.4053
33,3.4053
34,3.4053
35,3.4053
36,3.4053
37,3.4053
38,3.4053
39,3.4053
40,3.4053
41,3.4053
42,3.4053
43,3.4053
44,3.4053
45,3.4053
46,3.4053
47,3.4053
48,3.4053
49,3.4053
50,3.4053
51,3.4053
52,3.4053
53,3.4053
54,3.4053
55,3.4053
56,3.4053
57,3.4053
58,3.4053
59,3.4053
60,3.4053
61,3.5079
62,3.6081
63,3.6523
64,3.6504
65,3.6481
66,3.6462
67,3.6446
68,3.6434
69,3.6423
70,3.6415
71,3.6407
72,3.64
73,3.6396
74,3.6391
75,3.6388
76,3.6384
77,3.6381
78,3.6378
79,3.6376
80,3.6375
81,3.6372
82,3.6372
83,3.637
84,3.6369
85,3.6369
86,3.6367
87,3.6367
88,3.6367
89,3.6365
90,3.6367
91,3.6365
92,3.6365
93,3.6367
94,3.6367
95,3.6367
96,3.6367
97,3.6367
98,3.6369
99,3.6369
100,3.6369
101,3.637
102,3.637
103,3.6372
104,3.6372
105,3.6373
106,3.6375
107,3.6375
108,3.6376
109,3.6378
110,3.6378
111,3.638
112,3.6381
113,3.6383
114,3.6383
115,3.6384
116,3.6386
117,3.6388
118,3.6389
119,3.6391
120,3.6391
121,3.6392
122,3.6394
123,3.6396
124,3.6397
125,3.6399
126,3.64
127,3.6402
128,3.6403
129,3.6405
130,3.6407
131,3.6408
132,3.641
133,3.6411
134,3.6413
135,3.6415
136,3.6416
137,3.6418
138,3.6419
139,3.6419
140,3.6423
141,3.6424
142,3.6426
143,3.6427
144,3.6429
145,3.643
146,3.6432
147,3.6432
148,3.6434
149,3.6435
150,3.6437
151,3.6438
152,3.644
153,3.6442
154,3.6443
155,3.6445
156,3.6446
157,3.6448
158,3.645
159,3.6451
160,3.6453
161,3.6454
162,3.6456
163,3.6457
164,3.6457
165,3.6459
166,3.6461
167,3.6462
168,3.6464
169,3.6465
170,3.6467
171,3.6469
172,3.647
173,3.647
174,3.6472
175,3.6473
176,3.6475
177,3.6477
178,3.6478
179,3.6478
180,3.648
181,3.6481
182,3.6483
183,3.6484
184,3.6486
185,3.6486
186,3.6488
187,3.6489
188,3.6491
189,3.6492
190,3.6492
191,3.6494
192,3.6496
193,3.6497
194,3.6497
195,3.6499
196,3.65
197,3.6502
198,3.6502
199,3.6504
200,3.6505
201,3.6507
202,3.6507
203,3.6508
204,3.651
205,3.651
206,3.6511
207,3.6513
208,3.6513
209,3.6515
210,3.6516
211,3.6518
212,3.6518
213,3.6519
214,3.6521
215,3.6521
216,3.6523
217,3.6524
218,3.6524
219,3.6526
220,3.6526
221,3.6527
222,3.6529
223,3.6529
224,3.6531
225,3.6532
226,3.6532
227,3.6534
228,3.6535
229,3.6535
230,3.6537
231,3.6537
232,3.6538
233,3.654
234,3.654
235,3.6542
236,3.6542
237,3.6543
238,3.6545
239,3.6545
240,3.6546
241,3.6546
242,3.6548
243,3.6548
244,3.655
245,3.6551
246,3.6551
247,3.6553
248,3.6553
249,3.6554
250,3.6556
251,3.6556
252,3.6558
253,3.6558
254,3.6559
255,3.6559
