,voltage
0,3.4071
1,3.4071
2,3.4071
3,3.4071
4,3.4071
5,3.4071
6,3.4071
7,3.4071
8,3.4071
9,3.4071
10,3.4071
11,3.4071
12,3.4071
13,3.4071
14,3.4071
15,3.4071
16,3.4071
17,3.4071
18,3.4071
19,3.4071
20,3.4071
21,3.4071
22,3.4071
23,3.4071
24,3.4071
25,3.4071
26,3.4071
27,3.4071
28,3.4071
29,3.4071
30,3.4071
31,3.4071
32,3.4071
33,3.4071
34,3.4071
35,3.4071
36,3.4071
37,3.4071
38,3.4071
39,3.4071
40,3.4071
41,3.4071
42,3.4071
43,3.4071
44,3.4071
45,3.4071
46,3.4071
47,3.4071
48,3.4071
49,3.4071
50,3.4071
51,3.4071
52,3.4071
53,3.4071
54,3.4071
55,3.4071
56,3.4071
57,3.4071
58,3.4071
59,3.4071
60,3.4071
61,3.4987
62,3.6007
63,3.6423
64,3.6412
65,3.6391
66,3.6374
67,3.636
68,3.635
69,3.6342
70,3.6337
71,3.6333
72,3.6329
73,3.6326
74,3.6325
75,3.6322
76,3.6322
77,3.632
78,3.632
79,3.6318
80,3.6318
81,3.6318
82,3.632
83,3.632
84,3.632
85,3.632
86,3.6322
87,3.6322
88,3.6323
89,3.6323
90,3.6325
91,3.6326
92,3.6328
93,3.6328
94,3.6329
95,3.6331
96,3.6333
97,3.6334
98,3.6336
99,3.6337
100,3.6339
101,3.6341
102,3.6342
103,3.6344
104,3.6345
105,3.6347
106,3.6349
107,3.635
108,3.6352
109,3.6353
110,3.6355
111,3.6358
112,3.636
113,3.6361
114,3.6363
115,3.6364
116,3.6366
117,3.6368
118,3.6371
119,3.6372
120,3.6374
121,3.6376
122,3.6377
123,3.6379
124,3.6382
125,3.6383
126,3.6385
127,3.6387
128,3.6388
129,3.639
130,3.6393
131,3.6395
132,3.6396
133,3.6398
134,3.6399
135,3.6401
136,3.6403
137,3.6406
138,3.6407
139,3.6409
140,3.641
141,3.6412
142,3.6414
143,3.6415
144,3.6417
145,3.6418
146,3.6422
147,3.6423
148,3.6425
149,3.6426
150,3.6428
151,3.643
152,3.6431
153,3.6433
154,3.6434
155,3.6436
156,3.6437
157,3.6439
158,3.6441
159,3.6442
160,3.6444
161,3.6445
162,3.6447
163,3.6449
164,3.645
165,3.6452
166,3.6453
167,3.6455
168,3.6457
169,3.6458
170,3.646
171,3.6461
172,3.6463
173,3.6464
174,3.6466
175,3.6468
176,3.6469
177,3.6469
178,3.6471
179,3.6472
180,3.6474
181,3.6476
182,3.6477
183,3.6479
184,3.648
185,3.648
186,3.6482
187,3.6484
188,3.6485
189,3.6487
190,3.6488
191,3.6488
192,3.649
193,3.6491
194,3.6493
195,3.6495
196,3.6495
197,3.6496
198,3.6498
199,3.6499
200,3.6499
201,3.6501
202,3.6503
203,3.6504
204,3.6504
205,3.6506
206,3.6507
207,3.6509
208,3.6511
209,3.6511
210,3.6512
211,3.6512
212,3.6514
213,3.6515
214,3.6517
215,3.6517
216,3.6518
217,3.652
218,3.6522
219,3.6522
220,3.6523
221,3.6525
222,3.6525
223,3.6526
224,3.6526
225,3.6528
226,3.653
227,3.653
228,3.6531
229,3.6533
230,3.6533
231,3.6534
232,3.6536
233,3.6536
234,3.6538
235,3.6539
236,3.6539
237,3.6541
238,3.6541
239,3.6542
240,3.6544
241,3.6544
242,3.6545
243,3.6545
244,3.6547
245,3.6549
246,3.6549
247,3.655
248,3.655
249,3.6552
250,3.6552
251,3.6553
252,3.6555
253,3.6555
254,3.6557
255,3.6557
256,3.6558
257,3.6558
258,3.656
259,3.6561
260,3.6561
261,3.6563
262,3.6563
263,3.6565
264,3.6565
265,3.6566
266,3.6566
267,3.6568
268,3.6568
269,3.6569
270,3.6569
271,3.6571
272,3.6571
273,3.6572
274,3.6572
275,3.6574
276,3.6576
277,3.6576
278,3.6577
279,3.6577
280,3.6579
281,3.6579
282,3.658
283,3.658
284,3.6582
285,3.6582
286,3.6584
287,3.6584
288,3.6585
289,3.6585
290,3.6587
291,3.6587
292,3.6588
293,3.6588
294,3.6588
295,3.659
296,3.6592
297,3.6592
298,3.6592
299,3.6593
300,3.6593
301,3.6595
302,3.6595
303,3.6596
304,3.6596
305,3.6598
306,3.6598
307,3.6599
308,3.6599
309,3.6601
310,3.6601
311,3.6603
312,3.6603
313,3.6604
314,3.6604
315,3.6606
316,3.6606
317,3.6606
318,3.6607
319,3.6607
320,3.6609
321,3.6609
322,3.6611
323,3.6611
324,3.6611
325,3.6612
326,3.6612
327,3.6614
328,3.6614
329,3.6615
330,3.6615
331,3.6617
332,3.6617
333,3.6619
334,3.6619
335,3.6619
336,3.662
337,3.662
338,3.6622
339,3.6622
340,3.6623
341,3.6623
342,3.6623
343,3.6625
344,3.6625
345,3.6626
346,3.6626
347,3.6628
348,3.6628
349,3.6628
350,3.663
351,3.663
352,3.6631
353,3.6631
354,3.6633
355,3.6633
356,3.6633
357,3.6634
358,3.6634
359,3.6636
360,3.6636
361,3.6638
362,3.6638
363,3.6638
364,3.6639
365,3.6639
366,3.6641
367,3.6641
368,3.6641
369,3.6642
370,3.6642
371,3.6644
372,3.6644
373,3.6646
374,3.6646
375,3.6646
376,3.6647
377,3.6647
378,3.6649
379,3.6649
380,3.6649
381,3.665
382,3.665
383,3.6652
384,3.6652
385,3.6653
386,3.6653
387,3.6653
388,3.6655
389,3.6655
390,3.6655
391,3.6657
392,3.6657
393,3.6658
394,3.6658
395,3.6658
396,3.666
397,3.666
398,3.6661
399,3.6661
400,3.6661
401,3.6663
402,3.6663
403,3.6665
404,3.6665
405,3.6666
406,3.6666
407,3.6666
408,3.6668
409,3.6668
410,3.6668
411,3.6669
412,3.6669
413,3.6671
414,3.6671
415,3.6673
416,3.6673
417,3.6673
418,3.6674
419,3.6674
420,3.6674
421,3.6676
422,3.6676
423,3.6677
424,3.6677
425,3.6677
426,3.6679
427,3.6679
428,3.668
429,3.668
430,3.668
431,3.6682
432,3.6682
433,3.6682
434,3.6684
435,3.6684
436,3.6685
437,3.6685
438,3.6685
439,3.6687
440,3.6687
441,3.6688
442,3.6688
443,3.6688
444,3.669
445,3.669
446,3.669
447,3.6692
448,3.6692
449,3.6693
450,3.6693
451,3.6693
452,3.6695
453,3.6695
454,3.6696
455,3.6696
456,3.6696
457,3.6698
458,3.6698
459,3.6698
460,3.67
461,3.67
462,3.6701
463,3.6701
464,3.6701
465,3.6703
466,3.6703
