barcode,cycle_id,current(A),voltage(V),time(s)
demo,1,4,3.663247393,0
demo,1,4,3.674972684,10
demo,1,4,3.682655731,20
demo,1,4,3.688619159,30
demo,1,4,3.693264209,40
demo,1,4,3.69721383,50
demo,1,4,3.700606369,60
demo,1,4,3.703521,70
demo,1,4,3.706174115,80
demo,1,4,3.70856178,90
demo,1,4,3.710883367,100
demo,1,4,3.713048288,110
demo,1,4,3.715161512,120
demo,1,4,3.717218412,130
demo,1,4,3.719212192,140
demo,1,4,3.721199609,150
demo,1,4,3.723147919,160
demo,1,4,3.725461859,170
demo,1,4,3.72793994,180
demo,1,4,3.73041995,190
demo,1,4,3.732903827,200
demo,1,4,3.735393473,210
demo,1,4,3.737885652,220
demo,1,4,3.740395606,230
demo,1,4,3.742909031,240
demo,1,4,3.7454596,250
demo,1,4,3.748034476,260
demo,1,4,3.750674327,270
demo,1,4,3.753664082,280
demo,1,4,3.756656533,290
demo,1,4,3.75968231,300
demo,1,4,3.762714891,310
demo,1,4,3.765765173,320
demo,1,4,3.768832328,330
demo,1,4,3.771905672,340
demo,1,4,3.775002487,350
demo,1,4,3.778101747,360
demo,1,4,3.781220963,370
demo,1,4,3.78456252,380
demo,1,4,3.787983643,390
demo,1,4,3.791421944,400
demo,1,4,3.794864389,410
demo,1,4,3.798344043,420
demo,1,4,3.801825952,430
demo,1,4,3.805351996,440
demo,1,4,3.809212067,450
demo,1,4,3.813586148,460
demo,1,4,3.818034343,470
demo,1,4,3.822484696,480
demo,1,4,3.82710433,490
demo,1,4,3.831734538,500
demo,1,4,3.83644811,510
demo,1,4,3.840972493,520
demo,1,4,3.845578475,530
demo,1,4,3.850468562,540
demo,1,4,3.855360726,550
demo,1,4,3.860582187,560
demo,1,4,3.865861701,570
demo,1,4,3.871618996,580
demo,1,4,3.877685812,590
demo,1,4,3.883753231,600
demo,1,4,3.88981222,610
demo,1,4,3.895873266,620
demo,1,4,3.901724969,630
demo,1,4,3.907393762,640
demo,1,4,3.912897669,650
demo,1,4,3.918155623,660
demo,1,4,3.923406607,670
demo,1,4,3.928284966,680
demo,1,4,3.932607276,690
demo,1,4,3.936668351,700
demo,1,4,3.940631991,710
demo,1,4,3.944541152,720
demo,1,4,3.948314768,730
demo,1,4,3.952090549,740
